,ListNo,Acres,Area,Basemnt,City,County,Deck,GaragCap,Garage,HOAFee,Heat,Image,Latitude,Longitude,LstPrice,OpenHseDt,Patio,PkgSpacs,Pool,PropType,Roof,SchDist,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt,Prop_Type_num
0,1397571,0.29,101,Daylight; Entrance; Full; Walkout,Salt Lake City,Salt Lake,1,3,2 Car Deep (Tandem); Built-In; Opener,,Gas: Central,1397571_b4ef63b3f0aab1c4497bd7596c6da1b0_2370738.jpg,40.779524,-111.893542,725000,00/00/0000,1,0,See Remarks; Concrete/Gunite; Heated; In Ground; With Spa,Single Family,Asphalt Shingles,Salt Lake,752000,7244,4.0,5.0,5415,1998,2
1,1394021,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,0,Parking: Covered,165.0,Hot Water,1394021_9c7a44394ac7f3d6a38d3e71867edd13_1006444.jpg,40.773243,-111.88329099999999,205000,00/00/0000,0,0,,Condo,Flat; Membrane,Salt Lake,205000,1431,2.0,1.0,924,1965,0
2,1393604,0.11,101,Full,Salt Lake City,Salt Lake,0,0,,,Forced Air; Gas: Central; &gt;= 95% efficiency,1393604_6645ad6b29e3ac8db6982171e0890871_10468177.jpg,40.773972,-111.86747,390000,00/00/0000,1,0,,Single Family,Asphalt Shingles; Pitched,Salt Lake,390000,1816,3.0,1.0,1702,1940,2
3,1393602,0.14,101,Full,Salt Lake City,Salt Lake,0,1,See Remarks; Built-In; Opener,,Forced Air; Gas: Central; &gt;= 95% efficiency,1393602_9faafa1b01e9c669f68d47166b2b547d_8239043.jpg,40.783009,-111.8721,445000,00/00/0000,1,3,,Single Family,Asphalt Shingles; Pitched,Salt Lake,443000,3260,3.0,2.0,1756,1940,2
5,1393370,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,2,Built-In; Heated; Opener,620.0,Electric; Forced Air,1393370_02effac5c29f53fc1a7d3270d205b336_2431150.jpg,40.771693,-111.886951,339000,00/00/0000,0,2,Heated; In Ground; Indoor; With Spa,Condo,Flat,Salt Lake,334000,2141,3.0,2.0,1368,1976,0
6,1392721,0.14,101,Daylight; Entrance; Partial; Walkout,Salt Lake City,Salt Lake,1,2,Opener; Parking: Uncovered; Storage Above; Workbench,,Forced Air; Gas: Central; &gt;= 95% efficiency,1392721_73c81d1f44cca4edd24b277852af3a50_2122952.jpg,40.783889,-111.872194,600000,00/00/0000,1,2,,Single Family,Asphalt Shingles; Bitumen,Salt Lake,570000,4197,3.0,3.0,2956,1950,2
7,1392741,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,1,0,Detached; Parking: Covered,289.0,Electric; Hot Water,1392741_1bed2f559e9053cc86bb2dba0432ccfc_1701174.jpg,40.775431,-111.873783,209900,00/00/0000,0,1,,Condo,Rubber (EPDM),Salt Lake,215000,1478,2.0,2.0,1085,1968,0
9,1391580,0.09,101,Daylight; Partial,Salt Lake City,Salt Lake,0,0,,,Forced Air; Gas: Central,1391580_c9c09ed626a0f50ed2febea7810cfbd8_140511.jpg,40.775075,-111.87226000000001,399900,00/00/0000,1,3,,Single Family,Asphalt Shingles,Salt Lake,399000,2207,3.0,2.0,1539,1916,2
10,1391675,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,1,1,Heated; Opener; Parking: Covered,331.0,Forced Air; Gas: Central,1391675_f6a6d64d1ffc32fc345c46b207284aeb_330501.jpg,40.772489,-111.88495900000001,450000,00/00/0000,0,0,Heated; In Ground; With Spa,Condo,,Salt Lake,445500,2904,2.0,3.0,2113,1985,0
12,1391069,0.07,101,None/Crawl Space,Salt Lake City,Salt Lake,0,0,,,Forced Air; Gas: Central,1391069_4f2aba2f453315f3306712a50f1c3062_5103107.jpg,40.7728,-111.877568,300000,00/00/0000,0,2,,Single Family,Asphalt Shingles,Salt Lake,300000,2077,2.0,1.0,1082,1891,2
